Index,Sentiment,Date
0,0.3564444444444444,2016-04-17
1,0.008325000000000003,2016-04-18
2,0.0811764705882353,2016-04-19
3,0.2733115384615385,2016-04-20
4,-0.18241000000000004,2016-04-21
5,0.21554,2016-04-22
6,0.08701538461538462,2016-04-23
7,0.05420000000000001,2016-04-24
8,0.37712999999999997,2016-04-25
9,-0.0025437499999999974,2016-04-26
10,0.12918249999999998,2016-04-27
11,-0.21513333333333332,2016-04-28
12,-0.14552307692307692,2016-04-29
13,-0.035942857142857144,2016-04-30
14,0.14977142857142858,2016-05-01
15,0.06928947368421053,2016-05-02
16,0.11910000000000001,2016-05-03
17,-0.09099411764705882,2016-05-04
18,-0.025755000000000007,2016-05-05
19,0.03274,2016-05-06
20,0.2241625,2016-05-07
21,0.36538,2016-05-08
22,0.2074444444444445,2016-05-09
23,-0.056725,2016-05-10
24,0.02119230769230769,2016-05-11
25,0.23872142857142858,2016-05-12
26,0.39430909090909094,2016-05-13
27,0.16164,2016-05-14
28,0.007700000000000003,2016-05-15
29,-0.014940000000000004,2016-05-16
30,-0.030727272727272728,2016-05-17
31,0.2661,2016-05-18
32,-0.00557272727272727,2016-05-19
33,0.013661111111111112,2016-05-20
34,-0.26508750000000003,2016-05-21
35,0.17611666666666667,2016-05-22
36,0.2692,2016-05-23
37,-0.11275294117647058,2016-05-24
38,0.14396,2016-05-25
39,0.008129411764705882,2016-05-26
40,0.0672,2016-05-27
41,-0.153675,2016-05-28
42,0.18837500000000001,2016-05-29
43,0.299925,2016-05-30
44,-0.039725,2016-05-31
45,-0.26563499999999995,2016-06-01
46,0.04948571428571428,2016-06-02
47,-0.028094736842105266,2016-06-03
48,0.07916875000000001,2016-06-04
49,0.09601,2016-06-05
50,0.10545,2016-06-06
51,0.2622466666666667,2016-06-07
52,0.3134805555555556,2016-06-08
53,0.28037999999999996,2016-06-09
54,0.39468800000000004,2016-06-10
55,-0.10454999999999999,2016-06-11
56,-0.27140909090909093,2016-06-12
57,-0.6268777777777778,2016-06-13
58,-0.20438148148148155,2016-06-14
59,-0.07761875,2016-06-15
60,0.14587499999999998,2016-06-16
61,0.25749,2016-06-17
62,0.1956857142857143,2016-06-18
63,0.37960999999999995,2016-06-19
64,-0.12222727272727273,2016-06-20
65,-0.02015806451612903,2016-06-21
66,0.0971607142857143,2016-06-22
67,0.07865714285714287,2016-06-23
68,0.1265076923076923,2016-06-24
69,0.42698571428571425,2016-06-25
70,0.10556190476190477,2016-06-26
71,0.037503225806451594,2016-06-27
72,0.12209375,2016-06-28
73,0.171875,2016-06-29
74,0.054015384615384625,2016-06-30
75,0.08822222222222223,2016-07-01
76,0.05339999999999999,2016-07-02
77,-0.09363333333333333,2016-07-03
78,0.30528333333333335,2016-07-04
79,0.12753548387096775,2016-07-05
80,-0.04593571428571429,2016-07-06
81,-0.24533,2016-07-07
82,-0.003044444444444436,2016-07-08
83,0.5386833333333333,2016-07-09
84,0.07333333333333332,2016-07-10
85,0.15019166666666664,2016-07-11
86,0.15662894736842106,2016-07-12
87,-0.015038709677419352,2016-07-13
88,0.013355555555555556,2016-07-14
89,0.017181250000000006,2016-07-15
90,-0.004613333333333332,2016-07-16
91,0.059199999999999996,2016-07-17
92,-0.027503225806451627,2016-07-18
93,-0.028226666666666653,2016-07-19
94,0.06766333333333333,2016-07-20
95,0.025640540540540543,2016-07-21
96,0.15490363636363638,2016-07-22
97,0.2618931034482759,2016-07-23
98,0.24244999999999997,2016-07-24
99,0.07850740740740741,2016-07-25
100,0.2042037974683544,2016-07-26
101,0.12969565217391305,2016-07-27
102,0.22020090090090091,2016-07-28
103,0.23418200000000003,2016-07-29
104,0.1805894736842105,2016-07-30
105,0.25876363636363636,2016-07-31
106,0.16290000000000002,2016-08-01
107,0.10179374999999999,2016-08-02
108,-0.0069625000000000025,2016-08-03
109,0.09714374999999997,2016-08-04
110,0.14862499999999998,2016-08-05
111,0.14411666666666664,2016-08-06
112,0.21703571428571428,2016-08-07
113,0.07770399999999998,2016-08-08
114,0.018162500000000012,2016-08-09
115,0.18223684210526317,2016-08-10
116,0.10201219512195123,2016-08-11
117,0.007220000000000004,2016-08-12
118,0.4816666666666667,2016-08-13
119,0.6069666666666667,2016-08-14
120,0.1431590909090909,2016-08-15
121,0.05789999999999999,2016-08-16
122,0.18465333333333334,2016-08-17
123,0.260425,2016-08-18
124,0.07184375,2016-08-19
125,0.13714444444444443,2016-08-20
126,0.1719222222222222,2016-08-21
127,-0.15017272727272732,2016-08-22
128,0.160275,2016-08-23
129,0.11305,2016-08-24
130,0.05050869565217391,2016-08-25
131,0.1816375,2016-08-26
132,0.22505,2016-08-27
133,0.16340000000000002,2016-08-28
134,-0.08165,2016-08-29
135,0.0385769230769231,2016-08-30
136,0.12532857142857143,2016-08-31
137,-0.0532695652173913,2016-09-01
138,-0.247775,2016-09-02
139,0.010037499999999991,2016-09-03
140,0.006319999999999992,2016-09-04
141,0.1909181818181818,2016-09-05
142,0.0746157894736842,2016-09-06
143,0.043872000000000015,2016-09-07
144,0.1479280701754386,2016-09-08
145,0.10641999999999999,2016-09-09
146,0.25085999999999997,2016-09-10
147,0.15411666666666665,2016-09-11
148,0.13714,2016-09-12
149,0.04512439024390243,2016-09-13
150,0.10163414634146341,2016-09-14
151,0.1861029411764706,2016-09-15
152,0.016715151515151516,2016-09-16
153,0.09964999999999999,2016-09-17
154,0.020122222222222215,2016-09-18
155,0.11405749999999999,2016-09-19
156,0.08396666666666666,2016-09-20
157,0.3149827586206897,2016-09-21
