candidate,abortion,corruption,economy,education,environment,gun,health,immigration,tax,party
Clinton,0.032,0.0015,0.36,0.15,0.06,0.13,0.017,0.1,0.15,Democrats
Trump,0,0.045,0.51,0.066,0.038,0.071,0.035,0.17,0.066,Republican
